Department;GEO;Role;Willing to relocate;Percent remote;Last evaluation;Number of projects;Average montly hours;Years in the company;Work accidents;Left company;Promotion in the last 5 years;Salary;Gender;LinkedIn hits
IT;Colombia;Level 2-4;0;0.8;0.84;4;174;2;0;0;0;medium;F;2
Warehouse;Japan;Level 2-4;1;0.8;0.84;5;266;3;0;0;0;low;M;4
Operations;US;Level 2-4;1;0.8;0.84;3;151;3;0;0;0;low;M;7
Sales;Turkey;Level 2-4;0;0.8;0.84;4;271;2;0;0;0;medium;M;9
Finance;Japan;Level 1;0;0.8;0.84;4;214;2;0;0;0;low;F;10
Human Resources;UK;Level 1;1;0.8;0.84;6;261;5;0;0;0;low;M;1
IT;Australia;Level 1;0;0.8;0.84;3;166;2;0;0;0;high;F;6
Warehouse;Turkey;Level 1;1;0.8;0.84;3;269;2;0;0;0;low;F;8
Operations;China;Level 1;1;0.8;0.84;3;167;3;0;0;0;medium;M;5
Sales;Colombia;Level 1;0;0.8;0.84;4;200;2;0;0;0;medium;F;5
Finance;China;Level 1;0;0.8;0.84;4;159;3;0;0;0;low;F;1
Human Resources;China;Level 1;0;0.8;0.84;4;197;2;0;0;0;low;F;1
IT;France;Level 1;0;0.8;0.84;4;219;2;0;0;0;high;M;4
Warehouse;China;Level 1;1;0.8;0.84;3;239;3;0;0;0;low;F;10
Operations;Australia;Level 1;0;0.8;0.84;3;146;2;1;0;0;medium;F;8
Sales;Turkey;Level 1;1;0.8;0.84;5;173;2;0;0;0;low;F;4
Finance;France;Level 1;0;0.8;0.84;4;220;3;0;0;0;low;F;6
Human Resources;Australia;Level 1;0;0.8;0.84;3;185;3;0;0;0;medium;M;5
IT;Japan;Level 1;0;0.8;0.84;4;170;2;0;0;0;medium;M;5
Warehouse;Korea;Level 1;0;0.8;0.84;4;250;3;0;0;0;high;F;4
Operations;Turkey;Level 1;1;0.8;0.84;3;145;3;1;0;0;low;F;7
Sales;Korea;Level 1;0;0.8;0.84;3;211;4;0;0;0;high;M;1
Finance;Japan;Level 1;1;0.8;0.84;5;249;3;0;0;0;low;M;1
Human Resources;France;Level 1;0;0.8;0.84;3;237;2;0;0;0;medium;M;8
IT;France;Level 1;1;0.8;0.84;4;144;2;1;0;0;medium;M;8
Warehouse;Australia;Level 1;1;0.8;0.84;4;171;3;0;0;0;low;M;6
Operations;UK;Level 1;0;0.8;0.84;3;203;3;1;0;0;medium;F;4
Sales;China;Level 1;0;0.8;0.84;5;137;4;0;0;0;high;F;1
Finance;Korea;Level 1;0;0.8;0.84;4;212;3;0;0;0;medium;M;3
Human Resources;UK;Level 1;0;0.8;0.84;3;209;3;0;0;0;high;F;2
IT;Turkey;Level 1;0;0.8;0.84;3;223;3;0;0;0;low;F;7
Warehouse;US;Level 1;0;0.8;0.84;3;164;2;0;0;0;medium;F;7
Operations;UK;Level 1;1;0.8;0.84;3;220;3;1;0;0;high;F;6
Sales;Turkey;Level 1;0;0.8;0.84;3;216;3;0;0;0;medium;M;3
Finance;Colombia;VP;0;0.8;0.84;3;215;2;0;0;0;medium;M;7
Human Resources;France;Senior Director;1;0.8;0.84;4;146;3;0;0;0;low;F;4
IT;UK;Senior Director;0;0.8;0.84;5;168;2;0;0;0;low;F;10
Warehouse;France;Senior Director;1;0.8;0.84;4;218;6;0;0;0;medium;M;8
Operations;Colombia;Director;0;0.8;0.84;4;143;4;0;0;0;medium;F;2
Sales;China;Director;1;0.8;0.84;3;233;3;1;0;0;medium;M;7
Finance;Australia;Director;1;0.8;0.84;4;195;3;0;0;0;low;M;2
Human Resources;UK;Director;1;0.8;0.84;4;206;2;0;0;0;medium;M;5
IT;Colombia;Director;1;0.8;0.84;4;181;3;0;0;0;medium;M;1
Warehouse;Korea;Director;1;0.8;0.84;4;150;4;1;0;0;low;F;1
Operations;Australia;Senior Manager;1;0.8;0.84;3;258;4;0;0;0;low;F;3
Sales;UK;Senior Manager;1;0.8;0.84;4;149;4;1;0;0;medium;M;1
Finance;Turkey;Senior Manager;0;0.8;0.84;5;163;3;0;0;0;low;M;4
Human Resources;Korea;Senior Manager;0;0.8;0.84;3;259;2;0;0;0;high;M;8
IT;Korea;Senior Manager;0;0.8;0.84;5;187;2;1;0;0;low;F;7
Warehouse;US;Senior Manager;1;0.8;0.84;3;172;3;0;0;0;medium;M;1
Operations;Colombia;Senior Manager;1;0.8;0.84;3;139;2;0;0;0;low;M;2
Sales;France;Senior Manager;0;0.8;0.84;5;203;3;0;0;0;low;F;2
Finance;France;Senior Manager;1;0.8;0.84;3;150;4;0;0;0;medium;F;1
Human Resources;UK;Senior Manager;0;0.8;0.84;3;201;6;0;0;0;medium;M;10
IT;Australia;Senior Manager;1;0.8;0.84;3;194;2;0;0;0;medium;M;7
Warehouse;UK;Senior Manager;0;0.8;0.84;3;159;3;0;0;0;high;M;4
Operations;Japan;Manager;1;0.8;0.84;4;238;2;0;0;0;medium;F;9
Sales;US;Manager;0;0.8;0.84;3;189;2;1;0;0;low;M;8
Finance;Australia;Manager;1;0.8;0.84;2;173;2;1;0;0;high;M;1
Human Resources;Turkey;Manager;0;0.8;0.84;4;171;4;1;0;0;medium;M;2
IT;France;Manager;1;0.8;0.84;5;154;2;1;0;0;low;M;3
Warehouse;Korea;Manager;1;0.8;0.84;4;173;3;0;0;0;low;F;4
Operations;US;Manager;1;0.8;0.84;3;186;6;0;0;0;low;F;8
Sales;China;Manager;0;0.8;0.84;4;224;3;0;0;0;low;M;9
Finance;Australia;Manager;1;0.8;0.84;4;186;3;0;0;0;medium;F;9
Human Resources;Australia;Manager;1;0.8;0.84;4;196;3;0;0;0;low;M;5
IT;Australia;Manager;0;0.8;0.84;2;149;3;0;0;0;low;F;4
Warehouse;Korea;Manager;1;0.8;0.84;4;224;2;0;0;0;medium;M;8
Operations;US;Manager;0;0.8;0.84;3;154;2;0;0;0;low;F;10
Sales;Korea;Manager;0;0.8;0.84;3;170;4;0;0;0;low;M;3
Finance;Australia;Manager;0;0.8;0.84;3;150;2;0;0;0;low;F;6
Human Resources;Korea;Manager;1;0.8;0.84;5;240;3;0;0;0;low;M;7
IT;Turkey;Manager;1;0.8;0.84;3;139;2;0;0;0;medium;F;4
Warehouse;Colombia;Manager;1;0.8;0.84;3;251;3;0;0;0;medium;M;2
Operations;Turkey;Manager;0;0.8;0.84;4;237;3;1;0;0;medium;M;4
Sales;Turkey;Manager;0;0.8;0.84;3;227;3;0;0;0;low;F;4
Finance;UK;Manager;1;0.8;0.84;5;131;5;0;0;0;low;F;1
Human Resources;US;Manager;0;0.8;0.84;5;161;3;0;0;0;low;M;8
IT;UK;Level 2-4;1;0.8;0.84;3;195;3;0;0;0;medium;F;9
Warehouse;Turkey;Level 2-4;0;0.8;0.84;2;266;2;0;0;0;low;M;1
Operations;UK;Level 2-4;1;0.8;0.84;3;198;2;0;0;0;low;M;9
Sales;UK;Level 2-4;0;0.8;0.84;4;200;4;0;0;0;low;F;10
Finance;Korea;Level 2-4;0;0.8;0.84;6;196;4;0;0;0;medium;F;2
Human Resources;Australia;Level 2-4;1;0.8;0.84;2;285;5;0;0;0;low;M;4
IT;France;Level 2-4;1;0.8;0.84;4;265;2;0;0;0;low;M;2
Warehouse;Australia;Level 2-4;0;0.8;0.84;3;131;5;1;0;0;low;F;8
Operations;US;Level 2-4;1;0.8;0.84;5;216;3;1;0;0;medium;F;2
Sales;Korea;Level 2-4;0;0.8;0.84;4;253;4;0;0;0;low;F;1
Finance;Japan;Level 2-4;1;0.8;0.84;5;230;4;0;0;0;medium;M;4
Human Resources;Colombia;Level 2-4;0;0.8;0.84;4;173;4;0;0;0;medium;F;1
IT;France;Level 2-4;1;0.8;0.84;3;206;2;0;0;0;low;F;4
Warehouse;France;Level 2-4;0;0.8;0.84;5;189;5;0;0;0;low;M;7
Operations;China;Level 2-4;0;0.8;0.84;3;270;3;0;0;0;high;M;1
Sales;China;Level 2-4;0;0.8;0.84;4;266;3;0;0;0;low;M;3
Finance;France;Level 2-4;0;0.8;0.84;3;270;3;1;0;1;medium;M;7
Human Resources;Turkey;Level 2-4;1;0.8;0.84;3;216;8;0;0;0;medium;F;8
IT;France;Level 2-4;1;0.8;0.84;3;147;8;0;0;0;medium;M;6
Warehouse;Colombia;Level 2-4;0;0.8;0.84;3;270;6;0;0;0;medium;F;10
Operations;UK;Level 2-4;0;0.8;0.84;3;261;8;0;0;1;low;F;3
Sales;UK;Level 2-4;1;0.8;0.84;3;261;8;1;0;1;medium;M;3
Finance;Korea;Level 2-4;0;0.8;0.84;4;177;6;0;0;0;low;F;3
Human Resources;Korea;Level 2-4;1;0.8;0.84;4;142;10;0;0;0;high;F;7
IT;Japan;Level 2-4;0;0.8;0.84;5;222;3;1;0;0;medium;F;10
Warehouse;France;Level 2-4;0;0.8;0.84;4;186;7;0;0;1;medium;M;9
Operations;Australia;Level 2-4;0;0.8;0.84;3;177;3;0;0;0;medium;M;8
Sales;UK;Level 2-4;0;0.8;0.84;4;251;4;1;0;1;low;M;3
Finance;Australia;Level 2-4;0;0.8;0.84;3;240;7;0;0;0;medium;F;9
Human Resources;US;Level 2-4;0;0.8;0.84;3;260;4;1;0;0;medium;M;10
IT;Australia;Level 2-4;0;0.8;0.84;4;206;7;0;0;1;high;M;3
Warehouse;China;Level 2-4;0;0.8;0.84;4;242;2;1;0;0;low;M;3
Operations;Colombia;Level 2-4;0;0.8;0.84;3;194;3;0;0;0;low;F;1
Sales;Korea;Level 2-4;1;0.8;0.84;5;232;3;0;1;0;low;F;10
Finance;Colombia;Level 2-4;1;0.8;0.84;6;279;4;0;1;0;low;F;10
Human Resources;China;Level 2-4;0;0.8;0.84;6;251;4;0;1;0;low;F;10
IT;Korea;Level 2-4;1;0.8;0.84;6;300;5;1;1;0;low;F;10
Warehouse;Colombia;Level 2-4;1;0.8;0.84;7;133;5;0;1;0;low;F;4
Operations;Turkey;Level 2-4;1;0.8;0.84;6;283;4;1;1;0;low;M;8
Sales;China;Level 2-4;0;0.8;0.84;7;296;4;0;1;0;low;F;8
Finance;France;Level 2-4;1;0.8;0.84;6;261;4;0;1;0;medium;M;8
Human Resources;Turkey;Level 2-4;0;0.8;0.84;6;286;4;0;1;0;low;F;3
IT;UK;Level 2-4;1;0.8;0.84;6;298;4;0;1;0;low;F;1
Warehouse;Korea;Level 2-4;1;0.8;0.84;6;287;4;0;1;0;medium;F;1
Operations;Korea;Level 2-4;0;0.8;0.84;6;251;4;0;1;0;medium;F;3
Sales;UK;Level 2-4;1;0.8;0.84;5;231;5;0;1;0;low;F;4
Finance;Japan;Level 2-4;1;0.8;0.84;5;249;5;0;1;0;medium;M;10
Human Resources;US;Level 2-4;0;0.8;0.84;5;244;5;0;1;0;low;M;10
IT;Korea;Level 2-4;0;0.8;0.84;7;264;4;0;1;0;medium;F;9
Warehouse;UK;Level 2-4;1;0.8;0.84;5;254;5;0;1;0;medium;M;10
Operations;Turkey;Level 2-4;1;0.8;0.84;4;264;6;0;1;0;low;F;6
Sales;France;Level 2-4;0;0.8;0.84;6;309;4;0;1;0;low;M;9
Finance;France;Level 2-4;0;0.8;0.84;5;298;4;0;1;0;low;F;4
Human Resources;Colombia;Level 2-4;1;0.8;0.84;5;265;5;0;1;0;medium;M;1
IT;Turkey;Level 2-4;0;0.8;0.84;6;246;4;0;1;0;medium;M;7
Warehouse;Japan;Level 2-4;0;0.8;0.84;5;222;5;0;1;0;low;F;5
Operations;Japan;Level 2-4;0;0.8;0.84;7;250;4;0;1;0;low;M;1
Sales;US;Level 2-4;0;0.8;0.84;4;240;5;0;1;0;medium;M;7
Finance;US;Level 2-4;1;0.8;0.84;4;246;6;0;1;0;low;F;6
Human Resources;Colombia;Level 2-4;0;0.8;0.84;6;293;5;0;1;0;medium;F;4
IT;China;Level 2-4;1;0.8;0.84;5;189;5;0;0;0;low;M;3
Warehouse;France;Level 2-4;1;0.8;0.84;3;270;3;0;0;0;high;F;7
Operations;Colombia;Level 2-4;1;0.8;0.84;4;266;3;0;0;0;low;M;10
Sales;Australia;Level 1;0;0.8;0.84;3;270;3;1;0;1;medium;M;9
Finance;US;Level 1;1;0.8;0.84;3;216;8;0;0;0;medium;M;4
Human Resources;Colombia;Level 1;1;0.8;0.84;3;147;8;0;0;0;medium;F;7
IT;Colombia;Level 1;1;0.8;0.84;3;270;6;0;0;0;medium;F;9
Warehouse;Korea;Level 1;1;0.8;0.84;3;261;8;0;0;1;low;M;10
Operations;Colombia;Level 1;1;0.8;0.84;3;261;8;1;0;1;medium;F;9
Sales;China;Level 1;0;0.8;0.84;4;177;6;0;0;0;low;M;6
Finance;UK;Level 1;1;0.8;0.84;4;142;10;0;0;0;high;F;9
Human Resources;China;Level 1;0;0.8;0.84;5;222;3;1;0;0;medium;F;10
IT;France;Level 1;0;0.8;0.84;4;186;7;0;0;1;medium;F;1
Warehouse;Korea;Level 1;0;0.8;0.84;3;177;3;0;0;0;medium;M;10
Operations;Japan;Level 1;1;0.8;0.84;4;251;4;1;0;1;low;F;1
Sales;China;Level 1;1;0.8;0.84;3;240;7;0;0;0;medium;M;3
Finance;US;Level 1;1;0.8;0.84;3;260;4;1;0;0;medium;F;8
Human Resources;France;Level 1;1;0.8;0.84;4;206;7;0;0;1;high;M;7
IT;China;Level 1;1;0.8;0.84;4;242;2;1;0;0;low;M;4
Warehouse;Colombia;Level 1;0;0.8;0.84;3;194;3;0;0;0;low;F;3
Operations;US;Level 1;0;0.8;0.84;5;232;3;0;1;0;low;F;1
Sales;Korea;Level 1;0;0.8;0.84;6;279;4;0;1;0;low;F;1
Finance;Korea;Level 1;0;0.8;0.84;6;251;4;0;1;0;low;M;1
Human Resources;Japan;Level 1;1;0.8;0.84;6;300;5;1;1;0;low;M;3
IT;Japan;Level 1;1;0.8;0.84;7;133;5;0;1;0;low;F;7
Warehouse;China;Level 1;0;0.8;0.84;6;283;4;1;1;0;low;F;10
Operations;US;Level 1;1;0.8;0.84;7;296;4;0;1;0;low;F;2
Sales;Australia;Level 1;1;0.8;0.84;6;261;4;0;1;0;medium;F;8
Finance;UK;Level 1;0;0.8;0.84;6;286;4;0;1;0;low;M;5
Human Resources;UK;Level 1;0;0.8;0.84;6;298;4;0;1;0;low;M;3
IT;US;Level 1;0;0.8;0.84;6;287;4;0;1;0;medium;F;8
Warehouse;Japan;Level 1;1;0.8;0.84;6;251;4;0;1;0;medium;F;6
Operations;Japan;Level 1;1;0.8;0.84;5;231;5;0;1;0;low;M;10
Sales;Colombia;VP;0;0.8;0.84;5;249;5;0;1;0;medium;F;1
Finance;China;Senior Director;0;0.8;0.84;5;244;5;0;1;0;low;M;5
Human Resources;UK;Senior Director;0;0.8;0.84;7;264;4;0;1;0;medium;M;3
IT;Turkey;Senior Director;0;0.8;0.84;5;254;5;0;1;0;medium;M;7
Warehouse;UK;Director;1;0.8;0.84;4;264;6;0;1;0;low;M;7
Operations;Colombia;Director;0;0.8;0.84;6;309;4;0;1;0;low;F;6
Sales;France;Director;0;0.8;0.84;5;298;4;0;1;0;low;M;4
Finance;Australia;Director;0;0.8;0.84;5;265;5;0;1;0;medium;F;6
Human Resources;France;Director;0;0.8;0.84;6;246;4;0;1;0;medium;F;7
IT;Korea;Director;0;0.8;0.84;5;222;5;0;1;0;low;F;4
Warehouse;Turkey;Senior Manager;1;0.8;0.84;7;250;4;0;1;0;low;M;9
Operations;China;Senior Manager;1;0.8;0.84;6;269;4;0;1;0;low;F;2
Sales;Japan;Senior Manager;0;0.8;0.84;6;161;4;0;1;0;low;F;9
Finance;UK;Senior Manager;0;0.8;0.84;4;256;5;0;1;0;low;F;5
Human Resources;Japan;Senior Manager;1;0.8;0.84;5;303;5;0;1;0;medium;F;4
IT;China;Senior Manager;1;0.8;0.84;5;257;5;0;1;0;medium;F;3
Warehouse;Turkey;Senior Manager;1;0.8;0.85;5;259;5;0;1;0;low;F;3
Operations;Japan;Senior Manager;0;0.8;0.85;4;249;6;0;1;0;low;F;1
Sales;France;Senior Manager;1;0.8;0.85;6;289;4;0;1;0;high;F;3
Finance;Japan;Senior Manager;0;0.8;0.85;6;308;5;0;1;0;medium;F;6
Human Resources;Korea;Senior Manager;0;0.8;0.85;6;297;4;0;1;0;medium;F;2
IT;China;Senior Manager;0;0.8;0.85;4;255;5;0;1;0;low;M;1
Warehouse;Japan;Manager;1;0.8;0.85;6;266;4;0;1;0;low;M;9
Operations;Colombia;Manager;1;0.8;0.85;7;302;4;0;1;0;low;M;3
Sales;Australia;Manager;0;0.8;0.85;4;223;5;0;1;0;medium;M;4
Finance;Turkey;Manager;1;0.8;0.85;6;261;4;0;1;0;low;F;6
Human Resources;Korea;Manager;1;0.8;0.85;4;273;5;0;1;0;low;F;7
IT;Colombia;Manager;0;0.8;0.85;6;260;4;0;1;0;low;F;2
Warehouse;US;Manager;0;0.8;0.85;5;266;5;0;1;0;low;F;9
Operations;Colombia;Manager;1;0.8;0.85;2;164;5;0;1;0;low;F;8
Sales;Colombia;Manager;1;0.8;0.85;5;240;6;1;1;0;medium;F;9
Finance;China;Manager;1;0.8;0.85;6;305;4;0;1;0;medium;M;10
Human Resources;Australia;Manager;0;0.8;0.85;5;248;5;0;1;0;low;F;7
IT;France;Manager;0;0.8;0.85;7;279;4;0;1;0;medium;F;1
Warehouse;Turkey;Manager;0;0.8;0.85;5;244;6;0;1;0;low;F;7
Operations;US;Manager;0;0.8;0.85;5;267;5;0;1;0;low;F;4
Sales;Korea;Manager;1;0.8;0.85;7;275;4;0;1;0;medium;F;6
Finance;US;Manager;0;0.8;0.85;6;299;4;0;1;0;medium;M;9
Human Resources;UK;Manager;0;0.8;0.85;6;254;4;0;1;0;medium;F;3
IT;Australia;Manager;1;0.8;0.85;6;273;4;0;1;0;medium;F;6
Warehouse;China;Manager;1;0.8;0.85;5;218;5;0;1;0;low;F;6
Operations;Japan;Manager;0;0.8;0.85;5;267;5;0;1;0;medium;F;10
Sales;Colombia;Manager;0;0.8;0.85;6;259;4;0;1;0;medium;M;6
Finance;Turkey;Manager;1;0.8;0.85;7;272;4;0;1;0;low;M;3
Human Resources;Japan;Level 2-4;0;0.8;0.85;5;281;4;0;1;0;medium;M;8
IT;Australia;Level 2-4;0;0.8;0.85;6;267;4;0;1;0;medium;F;1
Warehouse;Japan;Level 2-4;0;0.8;0.85;6;260;4;0;1;0;medium;F;10
Operations;Australia;Level 2-4;0;0.8;0.85;7;261;4;0;1;0;medium;M;9
Sales;UK;Level 2-4;1;0.8;0.85;4;219;2;1;1;0;medium;F;2
Finance;Colombia;Level 2-4;1;0.8;0.85;4;264;5;0;1;0;medium;M;3
Human Resources;Turkey;Level 2-4;1;0.8;0.85;7;310;5;0;1;0;low;F;5
IT;France;Level 2-4;0;0.8;0.85;6;297;5;0;1;0;high;M;6
Warehouse;Japan;Level 2-4;0;0.8;0.85;4;274;5;0;1;0;low;M;5
Operations;US;Level 2-4;0;0.8;0.85;5;246;5;0;1;0;medium;M;6
Sales;China;Level 2-4;1;0.8;0.85;5;221;6;0;1;0;medium;F;3
Finance;Turkey;Level 2-4;0;0.8;0.85;6;295;4;0;1;0;low;F;10
Human Resources;UK;Level 2-4;1;0.8;0.85;7;259;4;0;1;0;low;M;6
IT;Korea;Level 2-4;1;0.8;0.85;4;138;3;0;1;0;medium;F;7
Warehouse;Turkey;Level 2-4;0;0.8;0.85;3;250;2;0;1;0;low;F;9
Operations;Colombia;Level 2-4;0;0.8;0.85;5;236;6;0;1;0;medium;F;4
Sales;France;Level 2-4;0;0.8;0.85;5;267;5;0;1;0;medium;M;10
Finance;UK;Level 2-4;1;0.8;0.85;6;283;4;0;1;0;medium;M;1
Human Resources;Australia;Level 2-4;1;0.8;0.85;7;244;4;0;1;0;low;M;8
IT;UK;Level 2-4;1;0.8;0.85;5;260;5;0;1;0;low;M;9
Warehouse;Japan;Level 2-4;0;0.8;0.85;5;276;5;0;1;0;medium;M;5
Operations;Japan;Level 2-4;0;0.8;0.85;7;307;4;0;1;0;low;M;4
Sales;Korea;Level 2-4;1;0.8;0.85;6;266;4;0;1;0;low;M;8
Finance;Australia;Level 2-4;0;0.8;0.85;5;237;5;0;1;0;medium;M;6
Human Resources;Turkey;Level 2-4;1;0.8;0.85;4;251;6;0;1;0;medium;M;4
IT;Colombia;Level 2-4;0;0.8;0.85;4;247;6;0;1;0;low;M;4
Warehouse;Australia;Level 2-4;1;0.8;0.85;3;279;4;0;0;0;low;M;3
Operations;Australia;Level 2-4;1;0.8;0.85;5;230;3;0;0;0;low;F;10
Sales;Australia;Level 2-4;0;0.8;0.85;4;234;3;0;0;0;low;F;4
Finance;Turkey;Level 2-4;0;0.8;0.85;6;152;4;0;0;0;medium;F;8
Human Resources;Japan;Level 2-4;0;0.8;0.85;3;160;4;0;0;0;medium;M;9
IT;Australia;Level 2-4;1;0.8;0.85;3;263;3;1;0;0;low;F;3
Warehouse;China;Level 2-4;0;0.8;0.85;4;164;3;0;0;0;low;M;4
Operations;UK;Level 2-4;1;0.8;0.85;3;209;2;1;0;0;medium;M;1
Sales;Japan;Level 2-4;0;0.8;0.85;5;245;3;0;0;0;low;F;9
Finance;Turkey;Level 2-4;1;0.8;0.85;3;172;2;0;0;0;low;M;5
Human Resources;US;Level 2-4;0;0.8;0.85;2;180;6;0;0;0;medium;F;7
IT;Japan;Level 2-4;1;0.8;0.85;3;145;3;0;0;0;medium;F;8
Warehouse;France;Level 2-4;1;0.8;0.85;3;248;3;0;0;0;medium;F;6
Operations;UK;Level 2-4;0;0.8;0.85;5;242;3;0;0;0;high;F;4
Sales;Japan;Level 2-4;1;0.8;0.85;4;237;3;1;0;0;medium;F;8
Finance;Australia;Level 2-4;0;0.8;0.85;4;203;2;0;0;0;low;F;4
Human Resources;France;Level 2-4;0;0.8;0.85;3;186;4;0;0;0;low;M;6
IT;China;Level 2-4;0;0.8;0.85;4;155;5;0;0;0;low;F;1
Warehouse;Turkey;Level 2-4;1;0.8;0.85;3;153;4;0;0;0;low;M;5
Operations;Japan;Level 2-4;1;0.8;0.85;3;199;2;0;0;0;medium;M;10
Sales;Japan;Level 2-4;1;0.8;0.85;4;219;3;0;0;0;medium;M;8
Finance;France;Level 2-4;0;0.8;0.85;4;156;2;0;0;0;low;M;8
Human Resources;Turkey;Level 2-4;1;0.8;0.85;5;135;2;0;0;0;low;F;1
IT;Japan;Level 2-4;0;0.8;0.85;3;244;3;1;0;0;medium;M;2
Warehouse;Turkey;Level 2-4;0;0.8;0.85;5;183;3;0;0;0;low;F;10
Operations;China;Level 2-4;1;0.8;0.85;4;258;2;0;0;0;low;F;3
Sales;France;Level 2-4;1;0.8;0.85;6;168;2;0;0;0;low;M;3
Finance;Turkey;Level 2-4;0;0.8;0.85;5;161;2;0;0;0;medium;F;10
Human Resources;China;Level 2-4;1;0.8;0.85;4;246;2;0;0;0;low;M;2
IT;Australia;Level 2-4;1;0.8;0.85;3;232;4;0;0;0;medium;M;3
Warehouse;Japan;Level 2-4;0;0.8;0.85;3;155;2;0;0;0;medium;F;5
Operations;Korea;Level 2-4;1;0.8;0.85;5;162;2;0;0;0;medium;M;6
Sales;Korea;Level 2-4;0;0.8;0.85;4;123;4;0;0;0;medium;M;6
Finance;Colombia;Level 2-4;0;0.8;0.85;3;235;2;0;0;0;low;F;10
Human Resources;UK;Level 2-4;1;0.8;0.85;5;179;2;0;0;0;low;F;3
IT;Colombia;Level 2-4;0;0.8;0.85;3;202;2;0;0;0;medium;M;3
Warehouse;US;Level 2-4;0;0.8;0.85;4;272;2;0;0;0;medium;F;1
Operations;Japan;Level 1;1;0.8;0.85;4;185;3;1;0;0;medium;M;1
Sales;Korea;Level 1;0;0.8;0.85;3;188;2;0;0;0;medium;F;2
Finance;France;Level 1;0;0.8;0.85;3;250;4;0;0;0;low;F;3
Human Resources;France;Level 1;0;0.8;0.85;5;224;4;0;0;0;low;M;7
IT;Japan;Level 1;1;0.8;0.85;4;261;3;0;0;0;low;F;10
Warehouse;Korea;Level 1;0;0.8;0.85;3;200;2;0;0;0;medium;M;8
Operations;Australia;Level 1;0;0.8;0.85;4;200;4;0;0;0;medium;M;3
Sales;Australia;Level 1;0;0.8;0.85;2;143;3;0;0;0;low;M;4
Finance;China;Level 1;1;0.8;0.85;3;199;3;0;0;0;low;M;7
Human Resources;France;Level 1;0;0.8;0.85;4;157;3;0;0;1;medium;M;2
IT;UK;Level 1;1;0.8;0.85;3;225;3;0;0;0;high;M;5
Warehouse;US;Level 1;0;0.8;0.85;3;152;2;0;0;1;medium;M;3
Operations;US;Level 1;1;0.8;0.85;4;236;2;0;0;0;medium;F;6
Sales;US;Level 1;0;0.8;0.85;3;266;5;0;0;0;low;M;1
Finance;Colombia;Level 1;1;0.8;0.85;3;243;4;0;0;0;medium;M;4
Human Resources;US;Level 1;0;0.8;0.85;4;224;6;0;0;0;high;F;5
IT;Australia;Level 1;1;0.8;0.85;3;153;4;0;0;0;low;F;10
Warehouse;China;Level 1;0;0.8;0.85;4;232;3;0;0;0;medium;F;7
Operations;US;Level 1;0;0.8;0.85;3;253;3;0;0;0;medium;M;5
Sales;UK;Level 1;1;0.8;0.85;3;150;3;0;0;0;low;M;5
Finance;Colombia;Level 1;0;0.8;0.85;4;198;2;0;0;0;low;M;5
Human Resources;China;Level 1;1;0.8;0.85;4;231;3;0;0;0;low;M;9
IT;China;Level 1;0;0.8;0.85;3;135;2;0;0;0;medium;F;9
Warehouse;Korea;Level 1;0;0.8;0.85;5;153;3;0;0;0;low;M;5
Operations;US;Level 1;1;0.8;0.85;4;201;2;1;0;0;low;M;3
Sales;US;Level 1;1;0.8;0.85;4;273;2;0;0;0;medium;M;6
Finance;UK;Level 1;1;0.8;0.85;5;245;3;0;0;0;high;M;4
Human Resources;UK;Level 1;0;0.8;0.85;4;157;2;0;0;0;low;M;9
IT;Australia;Level 1;1;0.8;0.85;4;150;2;0;0;0;high;F;8
Warehouse;Australia;Level 1;1;0.8;0.85;3;243;2;0;0;0;low;M;3
Operations;Korea;VP;1;0.8;0.85;4;105;5;0;0;0;high;M;4
Sales;US;Senior Director;1;0.8;0.85;5;221;5;0;0;0;low;M;6
Finance;China;Senior Director;1;0.8;0.85;3;236;6;0;0;0;medium;F;10
Human Resources;Turkey;Senior Director;1;0.8;0.85;4;263;3;0;0;0;medium;M;5
IT;China;Director;1;0.8;0.85;3;213;2;0;0;0;low;M;10
Warehouse;US;Director;0;0.8;0.85;6;259;3;1;0;0;low;F;3
Operations;Colombia;Director;0;0.8;0.85;4;190;3;0;0;0;medium;M;7
Sales;US;Director;1;0.8;0.85;3;213;4;0;0;0;medium;M;9
Finance;China;Director;0;0.8;0.85;5;261;4;0;0;0;medium;F;5
Human Resources;Japan;Director;1;0.8;0.85;3;254;3;0;0;0;medium;M;5
IT;UK;Senior Manager;0;0.8;0.85;3;151;4;1;0;0;medium;F;1
Warehouse;China;Senior Manager;0;0.8;0.85;5;187;4;0;0;0;medium;F;9
Operations;Australia;Senior Manager;0;0.8;0.85;4;139;2;0;0;0;medium;F;1
Sales;Korea;Senior Manager;0;0.8;0.85;5;173;2;0;0;0;high;F;10
Finance;Turkey;Senior Manager;1;0.8;0.85;3;136;3;0;0;0;low;M;10
Human Resources;Japan;Senior Manager;1;0.8;0.85;4;272;4;0;0;0;high;M;1
IT;Turkey;Senior Manager;0;0.8;0.85;6;116;3;0;0;0;low;M;6
Warehouse;Turkey;Senior Manager;0;0.8;0.85;4;181;3;0;0;0;low;M;10
Operations;Japan;Senior Manager;0;0.8;0.85;5;230;3;0;0;0;medium;M;4
Sales;France;Senior Manager;1;0.8;0.85;2;127;3;0;0;0;medium;F;3
Finance;Japan;Senior Manager;1;0.8;0.85;3;182;3;0;0;0;low;M;2
